Isolate_rep,Area_pix,Area_cm,Length_pix,Length_cm,Set,Isolate,Rep,Set2,Species
IASO_10-16.27_R3,20417,1.39,1968.35,16,Set_1-1,IASO_10-16.27,R3,Set_1,Pythium aff. torulosum
IASO_10-16.27_R3,18530,1.27,1505.24,12.24,Set_1-1,IASO_10-16.27,R3,Set_1,Pythium aff. torulosum
IASO_10-16.27_R3,15707,1.07,1174.08,9.55,Set_1-1,IASO_10-16.27,R3,Set_1,Pythium aff. torulosum
IASO_10-16.27_R3,41656,2.85,6064.59,49.31,Set_1-1,IASO_10-16.27,R3,Set_1,Pythium aff. torulosum
IASO_10-32.3_R1,23168,1.58,5020.97,40.82,Set_1-1,IASO_10-32.3,R1,Set_1,Pythium heterothallicum
IASO_10-32.3_R1,22958,1.57,2411.42,19.61,Set_1-1,IASO_10-32.3,R1,Set_1,Pythium heterothallicum
IASO_10-32.3_R1,16358,1.12,1912.59,15.55,Set_1-1,IASO_10-32.3,R1,Set_1,Pythium heterothallicum
IASO_10-32.3_R1,9787,0.67,1901.26,15.46,Set_1-1,IASO_10-32.3,R1,Set_1,Pythium heterothallicum
IASO_10-32.3_R1,22198,1.52,3115.04,25.33,Set_1-1,IASO_10-32.3,R1,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,30569,2.09,3282.89,26.69,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,7254,0.5,1069.61,8.7,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,12593,0.86,1153.79,9.38,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,4515,0.31,335.13,2.72,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,5386,0.37,523.79,4.26,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R2,5581,0.38,534.19,4.34,Set_1-1,IASO_10-32.3,R2,Set_1,Pythium heterothallicum
IASO_10-32.3_R3,13219,0.9,794.49,6.46,Set_1-1,IASO_10-32.3,R3,Set_1,Pythium heterothallicum
IASO_10-32.3_R3,5053,0.35,526.3,4.28,Set_1-1,IASO_10-32.3,R3,Set_1,Pythium heterothallicum
IASO_10-32.3_R3,7144,0.49,603.59,4.91,Set_1-1,IASO_10-32.3,R3,Set_1,Pythium heterothallicum
IASO_10-32.3_R3,5181,0.35,413.83,3.36,Set_1-1,IASO_10-32.3,R3,Set_1,Pythium heterothallicum
IASO_10-32.3_R3,9652,0.66,697.33,5.67,Set_1-1,IASO_10-32.3,R3,Set_1,Pythium heterothallicum
IASO_10-37.8_R1,8674,0.59,1411.04,11.47,Set_1-1,IASO_10-37.8,R1,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R1,5537,0.38,815.65,6.63,Set_1-1,IASO_10-37.8,R1,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R1,30240,2.07,3206.28,26.07,Set_1-1,IASO_10-37.8,R1,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R1,2621,0.18,402.8,3.27,Set_1-1,IASO_10-37.8,R1,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R1,0,0,0,0,Set_1-1,IASO_10-37.8,R1,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R3,1766,0.12,326.26,2.65,Set_1-1,IASO_10-37.8,R3,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R3,1372,0.09,208.04,1.69,Set_1-1,IASO_10-37.8,R3,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R3,6769,0.46,611.16,4.97,Set_1-1,IASO_10-37.8,R3,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R3,0,0,0,0,Set_1-1,IASO_10-37.8,R3,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R3,0,0,0,0,Set_1-1,IASO_10-37.8,R3,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R2,79148,5.41,10862.62,88.31,Set_1-1,IASO_10-37.8,R2,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R2,26293,1.8,4251.58,34.57,Set_1-1,IASO_10-37.8,R2,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R2,53852,3.68,6585.97,53.54,Set_1-1,IASO_10-37.8,R2,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R2,5295,0.36,337.07,2.74,Set_1-1,IASO_10-37.8,R2,Set_1,Pythium aff. dissotocum
IASO_10-37.8_R2,1431,0.1,387.47,3.15,Set_1-1,IASO_10-37.8,R2,Set_1,Pythium aff. dissotocum
IASO_2-21.2_R1,18134,1.32,2962.68,25.32,Set_1-1,IASO_2-21.2,R1,Set_1,Pythium irregulare
IASO_2-21.2_R1,17139,1.25,2020.86,17.27,Set_1-1,IASO_2-21.2,R1,Set_1,Pythium irregulare
IASO_2-21.2_R1,18429,1.35,2186.49,18.69,Set_1-1,IASO_2-21.2,R1,Set_1,Pythium irregulare
IASO_2-21.2_R1,12758,0.93,1078.02,9.21,Set_1-1,IASO_2-21.2,R1,Set_1,Pythium irregulare
IASO_2-21.2_R1,12367,0.9,1050.16,8.98,Set_1-1,IASO_2-21.2,R1,Set_1,Pythium irregulare
IASO_2-21.2_R2,24482,1.79,2112.99,18.06,Set_1-1,IASO_2-21.2,R2,Set_1,Pythium irregulare
IASO_2-21.2_R2,21749,1.59,1500.94,12.83,Set_1-1,IASO_2-21.2,R2,Set_1,Pythium irregulare
