"","Species","Isolate","Set","Rep","area.r","length.r","Weight.per.root","Weight.per.plant","r_s"
"183","Phytophthora inundata","C-MICO2_1-19","Set_4-1","R3",9.554,79.08,70,176,0.397727272727273
"184","Phytophthora inundata","C-MICO2_1-19","Set_4-2","R1",5.854,73.05,56,110,0.509090909090909
"185","Phytophthora inundata","C-MICO2_1-19","Set_4-2","R2",8.06,111.642,84,164,0.51219512195122
"186","Phytophthora inundata","C-MICO2_1-19","Set_4-2","R3",9.544,119.12,82,156,0.525641025641026
"187","Phytophthora inundata","C-MICO2_1-19","Set_4-3","R1",3.474,49.72,42,114,0.368421052631579
"188","Phytophthora inundata","C-MICO2_1-19","Set_4-3","R2",5.828,76.688,68,188,0.361702127659574
"189","Phytophthora inundata","C-MICO2_1-19","Set_4-3","R3",6.182,78.462,72,168,0.428571428571429
"190","Phytophthora inundata","MNSO_2-41.1H","Set_4-1","R1",7.302,100.854,64,178,0.359550561797753
"191","Phytophthora inundata","MNSO_2-41.1H","Set_4-1","R2",11.52,91.384,76,180,0.422222222222222
"192","Phytophthora inundata","MNSO_2-41.1H","Set_4-1","R3",10.912,87.006,98,184,0.532608695652174
"193","Phytophthora inundata","MNSO_2-41.1H","Set_4-2","R1",6.902,76.656,60,154,0.38961038961039
"194","Phytophthora inundata","MNSO_2-41.1H","Set_4-2","R2",10.934,134.062,92,178,0.51685393258427
"195","Phytophthora inundata","MNSO_2-41.1H","Set_4-2","R3",8.274,104.756,76,154,0.493506493506494
"196","Phytophthora inundata","MNSO_2-41.1H","Set_4-3","R1",6.1,81.966,84,168,0.5
"197","Phytophthora inundata","MNSO_2-41.1H","Set_4-3","R2",6.402,80.468,76,174,0.436781609195402
"198","Phytophthora inundata","MNSO_2-41.1H","Set_4-3","R3",4.902,57.566,58,170,0.341176470588235
"199","Phytophthora inundata","V-NDSO2_3-60","Set_4-1","R1",5.762,49.752,50,126,0.396825396825397
"200","Phytophthora inundata","V-NDSO2_3-60","Set_4-1","R2",8.776,82.804,70,176,0.397727272727273
"201","Phytophthora inundata","V-NDSO2_3-60","Set_4-1","R3",7.894,73.848,52,146,0.356164383561644
"202","Phytophthora inundata","V-NDSO2_3-60","Set_4-2","R1",3.996,52.596,50,130,0.384615384615385
"203","Phytophthora inundata","V-NDSO2_3-60","Set_4-2","R2",5.22,68.276,66,148,0.445945945945946
"204","Phytophthora inundata","V-NDSO2_3-60","Set_4-2","R3",5.686,69.84,62,128,0.484375
"205","Phytophthora inundata","V-NDSO2_3-60","Set_4-3","R1",4.76,64.1,56,156,0.358974358974359
"206","Phytophthora inundata","V-NDSO2_3-60","Set_4-3","R2",2.91,38.812,48,140,0.342857142857143
"207","Phytophthora inundata","V-NDSO2_3-60","Set_4-3","R3",3.208,41.262,56,160,0.35
"208","Phytophthora megasperma","V-NESO2_6-64","Set_2-1","R1",5.158,42.594,32,124,0.258064516129032
"209","Phytophthora megasperma","V-NESO2_6-64","Set_2-1","R2",6.474,57.116,42,158,0.265822784810127
"210","Phytophthora megasperma","V-NESO2_6-64","Set_2-1","R3",2.88,27.146,30,144,0.208333333333333
"211","Phytophthora megasperma","V-NESO2_6-64","Set_2-2","R1",4.01333333333333,54.9066666666667,44,158,0.278481012658228
"212","Phytophthora megasperma","V-NESO2_6-64","Set_2-2","R2",7.33,94.962,36,144,0.25
"213","Phytophthora megasperma","V-NESO2_6-64","Set_2-2","R3",3.502,46.578,40,138,0.289855072463768
"214","Phytophthora megasperma","V-NESO2_6-64","Set_2-3","R1",9.118,119.416,72,198,0.363636363636364
"215","Phytophthora megasperma","V-NESO2_6-64","Set_2-3","R2",8.134,103.764,48,174,0.275862068965517
"216","Phytophthora megasperma","V-NESO2_6-64","Set_2-3","R3",2.754,35.328,16,120,0.133333333333333
"217","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-1","R1",4.294,46.382,52,110,0.472727272727273
"218","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-1","R2",3.23,37.75,34,128,0.265625
"219","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-1","R3",3.88,41.824,34,132,0.257575757575758
"220","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-2","R1",2.09,20.592,24,136,0.176470588235294
"221","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-2","R2",1.838,14.96,30,152,0.197368421052632
"222","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-2","R3",1.722,13.634,30,136,0.220588235294118
"223","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-3","R1",2.782,24.56,58,172,0.337209302325581
"224","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-3","R2",2.856,31.756,62,146,0.424657534246575
"225","Phytophthora rosacearum","C-MNSO2_6-7","Set_3-3","R3",2.912,33.26,52,132,0.393939393939394
"226","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-1","R1",11.95,157.638,60,172,0.348837209302326
"227","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-1","R2",12.61,172.31,42,134,0.313432835820896
"228","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-1","R3",10.908,147.26,46,146,0.315068493150685
"229","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-2","R1",9.8,99.04,56,150,0.373333333333333
"230","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-2","R2",6.926,80.696,34,128,0.265625
"231","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-2","R3",3.41,38.528,22,182,0.120879120879121
"232","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-3","R1",3.496,44.918,34,118,0.288135593220339
"233","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-3","R2",9.158,110.542,64,192,0.333333333333333
"234","Phytophthora rosacearum","V-KSSO2_2-4","Set_3-3","R3",8.308,111.71,62,174,0.35632183908046
"235","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-1","R1",3.61,32.086,36,110,0.327272727272727
"236","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-1","R2",6.212,55.73,46,158,0.291139240506329
"237","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-1","R3",2.766,34.772,28,84,0.333333333333333
"238","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-2","R1",4.43,48.318,36,134,0.26865671641791
"239","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-2","R2",3.5,38.026,36,164,0.219512195121951
"240","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-2","R3",3.998,44.548,44,134,0.328358208955224
"241","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-3","R1",3.176,41.82,42,128,0.328125
"242","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-3","R2",2.45,28.802,34,154,0.220779220779221
"243","Phytophthora rosacearum","V-SDSO2_4-45","Set_3-3","R3",1.964,20.798,36,138,0.260869565217391
"244","Phytophthora sansomeana","KSSO_6-1","Set_1-1","R1",0.102,1.034,4,138,0.0289855072463768
"245","Phytophthora sansomeana","KSSO_6-1","Set_1-1","R2",0.75,5.67,2,154,0.012987012987013
"246","Phytophthora sansomeana","KSSO_6-1","Set_1-1","R3",0.49,4.176,6,148,0.0405405405405405
"247","Phytophthora sansomeana","KSSO_6-1","Set_1-2","R1",0.62,6.708,6,172,0.0348837209302326
"248","Phytophthora sansomeana","KSSO_6-1","Set_1-2","R2",0,0,2,122,0.0163934426229508
"249","Phytophthora sansomeana","KSSO_6-1","Set_1-2","R3",0.41,4.696,4,158,0.0253164556962025
"250","Phytophthora sansomeana","KSSO_6-1","Set_1-3","R1",0.468,4.114,4,120,0.0333333333333333
"251","Phytophthora sansomeana","KSSO_6-1","Set_1-3","R2",0.655,4.775,4,112,0.0357142857142857
"252","Phytophthora sansomeana","KSSO_6-1","Set_1-3","R3",0.476,4.76,4,134,0.0298507462686567
"253","Phytophthora sansomeana","KSSO_6-47","Set_1-1","R1",0,0,0,56,0
"254","Phytophthora sansomeana","KSSO_6-47","Set_1-1","R2",0,0,0,76,0
