Species,Set,Isolate,Rep,Whole Shoot,Roots,Number Plants,Weight per root,Weight per shoot
Pythium middletonii,Set_5-1,C-ARSO2_5-1,R1,500,260,5,52,100
Pythium middletonii,Set_5-1,C-ARSO2_5-1,R2,810,270,5,54,162
Pythium middletonii,Set_5-1,C-ARSO2_5-1,R3,490,210,5,42,98
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-1,R1,550,270,5,54,110
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-1,R2,780,310,5,62,156
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-1,R3,530,270,5,54,106
Pythium aristosporum,Set_5-1,C-ILSO2_1-13,R1,610,340,5,68,122
Pythium aristosporum,Set_5-1,C-ILSO2_1-13,R2,430,220,5,44,86
Pythium aristosporum,Set_5-1,C-ILSO2_1-13,R3,550,310,5,62,110
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-3,R1,660,140,5,28,132
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-3,R2,530,190,5,38,106
Pythium arrhenomanes,Set_5-1,C-ILSO2_1-3,R3,750,280,5,56,150
Phytopythium litorale,Set_5-1,C-KSSO2_1-25,R1,380,150,5,30,76
Phytopythium litorale,Set_5-1,C-KSSO2_1-25,R2,580,270,5,54,116
Phytopythium litorale,Set_5-1,C-KSSO2_1-25,R3,450,220,5,44,90
Phytopythium mercuriale,Set_5-1,C-KSSO2_2-15,R1,480,240,5,48,96
Phytopythium mercuriale,Set_5-1,C-KSSO2_2-15,R2,540,190,5,38,108
Phytopythium mercuriale,Set_5-1,C-KSSO2_2-15,R3,790,280,5,56,158
Pythium hypogynum,Set_5-1,C-KSSO2_6-21,R1,530,320,5,64,106
Pythium hypogynum,Set_5-1,C-KSSO2_6-21,R2,760,300,5,60,152
Pythium hypogynum,Set_5-1,C-KSSO2_6-21,R3,520,210,5,42,104
Pythium hypogynum,Set_5-1,C-MISO2_4-1,R1,400,210,5,42,80
Pythium hypogynum,Set_5-1,C-MISO2_4-1,R2,450,210,5,42,90
Pythium hypogynum,Set_5-1,C-MISO2_4-1,R3,550,280,5,56,110
Pythium arrhenomanes,Set_5-1,C-MISO2_4-10,R1,730,250,5,50,146
Pythium arrhenomanes,Set_5-1,C-MISO2_4-10,R2,460,270,5,54,92
Pythium arrhenomanes,Set_5-1,C-MISO2_4-10,R3,650,270,5,54,130
Pythium nagaii,Set_5-1,C-MNSO2_6-21,R1,800,280,5,56,160
Pythium nagaii,Set_5-1,C-MNSO2_6-21,R2,450,160,5,32,90
Pythium nagaii,Set_5-1,C-MNSO2_6-21,R3,540,300,5,60,108
Pythium nagaii,Set_5-1,C-NDSO2_1-1,R1,790,280,5,56,158
Pythium nagaii,Set_5-1,C-NDSO2_1-1,R2,460,200,5,40,92
Pythium nagaii,Set_5-1,C-NDSO2_1-1,R3,710,240,5,48,142
Pythium nagaii,Set_5-1,C-NDSO2_6-1,R1,460,190,5,38,92
Pythium nagaii,Set_5-1,C-NDSO2_6-1,R2,430,200,5,40,86
Pythium nagaii,Set_5-1,C-NDSO2_6-1,R3,380,180,5,36,76
CONTROL,Set_5-1,CONTROL,R1,760,300,5,60,152
CONTROL,Set_5-1,CONTROL,R2,780,300,5,60,156
CONTROL,Set_5-1,CONTROL,R3,560,280,5,56,112
Pythium aff. perplexum,Set_5-1,IASO_2-12.11,R1,540,250,5,50,108
Pythium aff. perplexum,Set_5-1,IASO_2-12.11,R2,810,310,5,62,162
Pythium aff. perplexum,Set_5-1,IASO_2-12.11,R3,380,230,5,46,76
Pythium middletonii,Set_5-1,ILSO_6-58C,R1,540,260,5,52,108
Pythium middletonii,Set_5-1,ILSO_6-58C,R2,680,310,5,62,136
Pythium middletonii,Set_5-1,ILSO_6-58C,R3,670,280,5,56,134
Pythium middletonii,Set_5-1,INSO_4-27,R1,790,320,5,64,158
Pythium middletonii,Set_5-1,INSO_4-27,R2,540,300,5,60,108
Pythium middletonii,Set_5-1,INSO_4-27,R3,660,310,5,62,132
Pythium tardicrescens,Set_5-1,KSSO_5-18,R1,590,90,5,18,118
Pythium tardicrescens,Set_5-1,KSSO_5-18,R2,470,20,5,4,94
Pythium tardicrescens,Set_5-1,KSSO_5-18,R3,530,90,5,18,106
Pythium tardicrescens,Set_5-1,MICO_5-13,R1,530,350,5,70,106
Pythium tardicrescens,Set_5-1,MICO_5-13,R2,730,320,5,64,146
Pythium tardicrescens,Set_5-1,MICO_5-13,R3,470,170,5,34,94
Pythium tardicrescens,Set_5-1,MICO_6-11,R1,570,260,5,52,114
Pythium tardicrescens,Set_5-1,MICO_6-11,R2,550,330,5,66,110
Pythium tardicrescens,Set_5-1,MICO_6-11,R3,490,270,5,54,98
Pythium aff. perplexum,Set_5-1,MNSO_2-28,R1,490,250,5,50,98
Pythium aff. perplexum,Set_5-1,MNSO_2-28,R2,610,360,5,72,122
Pythium aff. perplexum,Set_5-1,MNSO_2-28,R3,920,380,5,76,184
Pythium kashmirense,Set_5-1,SDSO_7-31,R1,1010,350,5,70,202
Pythium kashmirense,Set_5-1,SDSO_7-31,R2,520,240,5,48,104
Pythium kashmirense,Set_5-1,SDSO_7-31,R3,560,240,5,48,112
Phytopythium litorale,Set_5-1,V-IASO2_6-55,R1,720,330,5,66,144
Phytopythium litorale,Set_5-1,V-IASO2_6-55,R2,730,260,5,52,146
Phytopythium litorale,Set_5-1,V-IASO2_6-55,R3,740,280,5,56,148
Pythium kashmirense,Set_5-1,V-ILSO2_4-64,R1,530,250,5,50,106
Pythium kashmirense,Set_5-1,V-ILSO2_4-64,R2,860,420,5,84,172
Pythium kashmirense,Set_5-1,V-ILSO2_4-64,R3,530,310,5,62,106
Pythium aristosporum,Set_5-1,V-MICO2_5-8,R1,830,340,5,68,166
Pythium aristosporum,Set_5-1,V-MICO2_5-8,R2,730,380,5,76,146
Pythium aristosporum,Set_5-1,V-MICO2_5-8,R3,850,330,5,66,170
Pythium aristosporum,Set_5-1,V-NDSO2_6-50,R1,650,320,5,64,130
Pythium aristosporum,Set_5-1,V-NDSO2_6-50,R2,880,380,5,76,176
Pythium aristosporum,Set_5-1,V-NDSO2_6-50,R3,630,150,5,30,126
Phytopythium litorale,Set_5-1,V-NDSO2_6-55,R1,470,230,5,46,94
Phytopythium litorale,Set_5-1,V-NDSO2_6-55,R2,580,300,5,60,116
Phytopythium litorale,Set_5-1,V-NDSO2_6-55,R3,650,260,5,52,130
Phytopythium mercuriale,Set_5-1,V-NESO2_5-41,R1,820,300,5,60,164
Phytopythium mercuriale,Set_5-1,V-NESO2_5-41,R2,530,270,5,54,106
Phytopythium mercuriale,Set_5-1,V-NESO2_5-41,R3,700,310,5,62,140
Phytopythium mercuriale,Set_5-1,V-NESO2_5-43,R1,490,230,5,46,98
Phytopythium mercuriale,Set_5-1,V-NESO2_5-43,R2,540,220,5,44,108
Phytopythium mercuriale,Set_5-1,V-NESO2_5-43,R3,450,200,5,40,90
Pythium kashmirense,Set_5-1,V-SDSO2_4-64,R1,810,300,5,60,162
Pythium kashmirense,Set_5-1,V-SDSO2_4-64,R2,770,310,5,62,154
Pythium kashmirense,Set_5-1,V-SDSO2_4-64,R3,800,320,5,64,160
Pythium aff. perplexum,Set_5-1,WISO_4-39.1H,R1,440,190,5,38,88
Pythium aff. perplexum,Set_5-1,WISO_4-39.1H,R2,590,280,5,56,118
Pythium aff. perplexum,Set_5-1,WISO_4-39.1H,R3,420,220,5,44,84
CONTROL_NR,Set_5-1,CONTROL_NR,R1,970,380,5,76,194
CONTROL_NR,Set_5-1,CONTROL_NR,R2,730,290,5,58,146
CONTROL_NR,Set_5-1,CONTROL_NR,R3,800,320,5,64,160
Pythium acrogynum,Set_4-3,C-ARSO2_6-19,R1,900,360,5,72,180
Pythium acrogynum,Set_4-3,C-ARSO2_6-19,R2,730,280,5,56,146
Pythium acrogynum,Set_4-3,C-ARSO2_6-19,R3,780,260,5,52,156
Pythium monospermum,Set_4-3,C-INSO2_2-15,R1,770,100,5,20,154
Pythium monospermum,Set_4-3,C-INSO2_2-15,R2,700,300,5,60,140
Pythium monospermum,Set_4-3,C-INSO2_2-15,R3,860,410,5,82,172
Pythium longandrum,Set_4-3,C-KSSO2_5-20,R1,810,220,5,44,162
Pythium longandrum,Set_4-3,C-KSSO2_5-20,R2,850,260,5,52,170
Pythium longandrum,Set_4-3,C-KSSO2_5-20,R3,830,360,5,72,166
Phytophthora inundata,Set_4-3,C-MICO2_1-19,R1,570,210,5,42,114
Phytophthora inundata,Set_4-3,C-MICO2_1-19,R2,940,340,5,68,188
Phytophthora inundata,Set_4-3,C-MICO2_1-19,R3,840,360,5,72,168
Pythium oligandrum,Set_4-3,C-MICO2_5-16,R1,650,280,5,56,130
Pythium oligandrum,Set_4-3,C-MICO2_5-16,R2,740,200,5,40,148
Pythium oligandrum,Set_4-3,C-MICO2_5-16,R3,780,170,5,34,156
Pythium acrogynum,Set_4-3,C-MISO2_1-11,R1,780,230,5,46,156
Pythium acrogynum,Set_4-3,C-MISO2_1-11,R2,770,340,5,68,154
Pythium acrogynum,Set_4-3,C-MISO2_1-11,R3,900,380,5,76,180
Pythium oligandrum,Set_4-3,C-MISO2_5-23,R1,710,250,5,50,142
Pythium oligandrum,Set_4-3,C-MISO2_5-23,R2,730,230,5,46,146
Pythium oligandrum,Set_4-3,C-MISO2_5-23,R3,850,340,5,68,170
Pythium contiguanum,Set_4-3,C-MISO2_5-4,R1,680,210,5,42,136
Pythium contiguanum,Set_4-3,C-MISO2_5-4,R2,640,230,5,46,128
Pythium contiguanum,Set_4-3,C-MISO2_5-4,R3,840,360,5,72,168
Pythium oligandrum,Set_4-3,C-MISO2_6-6,R1,700,220,5,44,140
Pythium oligandrum,Set_4-3,C-MISO2_6-6,R2,780,280,5,56,156
Pythium oligandrum,Set_4-3,C-MISO2_6-6,R3,750,390,5,78,150
Pythium torulosum,Set_4-3,C-MNSO2_2-21,R1,800,260,5,52,160
Pythium torulosum,Set_4-3,C-MNSO2_2-21,R2,710,240,5,48,142
Pythium torulosum,Set_4-3,C-MNSO2_2-21,R3,910,320,5,64,182
Pythium longandrum,Set_4-3,C-NESO2_6-25,R1,720,280,5,56,144
Pythium longandrum,Set_4-3,C-NESO2_6-25,R2,570,210,5,42,114
Pythium longandrum,Set_4-3,C-NESO2_6-25,R3,570,250,5,50,114
Pythium contiguanum,Set_4-3,C-SDSO2_4-9,R1,820,210,5,42,164
Pythium contiguanum,Set_4-3,C-SDSO2_4-9,R2,820,290,5,58,164
Pythium contiguanum,Set_4-3,C-SDSO2_4-9,R3,870,390,5,78,174
CONTROL,Set_4-3,CONTROL,R1,960,320,5,64,192
CONTROL,Set_4-3,CONTROL,R2,930,380,5,76,186
CONTROL,Set_4-3,CONTROL,R3,1040,360,5,72,208
CONTROL_NR,Set_4-3,CONTROL_NR,R1,850,370,5,74,170
CONTROL_NR,Set_4-3,CONTROL_NR,R2,1020,410,5,82,204
CONTROL_NR,Set_4-3,CONTROL_NR,R3,1000,380,5,76,200
Pythium aff. diclinum,Set_4-3,IASO_4-9,R1,200,10,5,2,40
Pythium aff. diclinum,Set_4-3,IASO_4-9,R2,190,0,5,0,38
Pythium aff. diclinum,Set_4-3,IASO_4-9,R3,390,20,5,4,78
Pythium contiguanum,Set_4-3,ILSO_3-26B,R1,910,360,5,72,182
Pythium contiguanum,Set_4-3,ILSO_3-26B,R2,1060,400,5,80,212
Pythium contiguanum,Set_4-3,ILSO_3-26B,R3,730,290,5,58,146
Pythium monospermum,Set_4-3,INSO_2-25,R1,880,340,5,68,176
Pythium monospermum,Set_4-3,INSO_2-25,R2,770,250,5,50,154
Pythium monospermum,Set_4-3,INSO_2-25,R3,1020,380,5,76,204
Pythium rhizosaccharum,Set_4-3,KSSO_2-11,R1,770,340,5,68,154
Pythium rhizosaccharum,Set_4-3,KSSO_2-11,R2,920,310,5,62,184
Pythium rhizosaccharum,Set_4-3,KSSO_2-11,R3,830,280,5,56,166
Pythium longandrum,Set_4-3,MICO_2-24,R1,780,310,5,62,156
Pythium longandrum,Set_4-3,MICO_2-24,R2,810,280,5,56,162
Pythium longandrum,Set_4-3,MICO_2-24,R3,820,340,5,68,164
Pythium torulosum,Set_4-3,MISO_5-19h,R1,730,280,5,56,146
Pythium torulosum,Set_4-3,MISO_5-19h,R2,990,360,5,72,198
Pythium torulosum,Set_4-3,MISO_5-19h,R3,930,360,5,72,186
Pythium torulosum,Set_4-3,MISO_8-29_1,R1,770,360,5,72,154
Pythium torulosum,Set_4-3,MISO_8-29_1,R2,720,270,5,54,144
Pythium torulosum,Set_4-3,MISO_8-29_1,R3,920,410,5,82,184
Pythium rhizosaccharum,Set_4-3,MNSO_1-29,R1,880,410,5,82,176
Pythium rhizosaccharum,Set_4-3,MNSO_1-29,R2,980,340,5,68,196
Pythium rhizosaccharum,Set_4-3,MNSO_1-29,R3,880,390,5,78,176
Phytophthora inundata,Set_4-3,MNSO_2-41.1H,R1,840,420,5,84,168
Phytophthora inundata,Set_4-3,MNSO_2-41.1H,R2,870,380,5,76,174
Phytophthora inundata,Set_4-3,MNSO_2-41.1H,R3,850,290,5,58,170
Pythium aff. diclinum,Set_4-3,NDSO_5-2,R1,520,80,5,16,104
Pythium aff. diclinum,Set_4-3,NDSO_5-2,R2,550,130,5,26,110
Pythium aff. diclinum,Set_4-3,NDSO_5-2,R3,610,150,5,30,122
Pythium aff. diclinum,Set_4-3,NDSO_5-6,R1,740,170,5,34,148
Pythium aff. diclinum,Set_4-3,NDSO_5-6,R2,940,300,5,60,188
Pythium aff. diclinum,Set_4-3,NDSO_5-6,R3,650,150,5,30,130
Pythium rhizosaccharum,Set_4-3,NESO_4-43,R1,810,330,5,66,162
Pythium rhizosaccharum,Set_4-3,NESO_4-43,R2,770,230,5,46,154
Pythium rhizosaccharum,Set_4-3,NESO_4-43,R3,900,360,5,72,180
Phytophthora inundata,Set_4-3,V-NDSO2_3-60,R1,780,280,5,56,156
Phytophthora inundata,Set_4-3,V-NDSO2_3-60,R2,700,240,5,48,140
Phytophthora inundata,Set_4-3,V-NDSO2_3-60,R3,800,280,5,56,160
Pythium acrogynum,Set_4-3,V-NDSO2_4-48,R1,960,310,5,62,192
Pythium acrogynum,Set_4-3,V-NDSO2_4-48,R2,680,140,5,28,136
Pythium acrogynum,Set_4-3,V-NDSO2_4-48,R3,770,280,5,56,154
Pythium glomeratum,Set_4-3,WISO_2-12.2,R1,940,340,5,68,188
Pythium glomeratum,Set_4-3,WISO_2-12.2,R2,830,340,5,68,166
Pythium glomeratum,Set_4-3,WISO_2-12.2,R3,900,370,5,74,180
Pythium glomeratum,Set_4-3,WISO_4-18,R1,880,290,5,58,176
Pythium glomeratum,Set_4-3,WISO_4-18,R2,950,370,5,74,190
Pythium glomeratum,Set_4-3,WISO_4-18,R3,810,270,5,54,162
Pythium glomeratum,Set_4-3,WISO_4-22.1,R1,700,160,5,32,140
Pythium glomeratum,Set_4-3,WISO_4-22.1,R2,660,80,5,16,132
Pythium glomeratum,Set_4-3,WISO_4-22.1,R3,720,250,5,50,144
Pythium hypogynum,Set_5-2,C-ARSO2_3-12,R1,970,310,5,62,194
Pythium hypogynum,Set_5-2,C-ARSO2_3-12,R2,1010,280,5,56,202
Pythium hypogynum,Set_5-2,C-ARSO2_3-12,R3,860,240,5,48,172
Pythium middletonii,Set_5-2,C-ARSO2_5-1,R1,740,250,5,50,148
Pythium middletonii,Set_5-2,C-ARSO2_5-1,R2,680,180,5,36,136
Pythium middletonii,Set_5-2,C-ARSO2_5-1,R3,870,370,5,74,174
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-1,R1,710,240,5,48,142
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-1,R2,800,330,5,66,160
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-1,R3,780,260,5,52,156
Pythium aristosporum,Set_5-2,C-ILSO2_1-13,R1,830,330,5,66,166
Pythium aristosporum,Set_5-2,C-ILSO2_1-13,R2,690,260,5,52,138
Pythium aristosporum,Set_5-2,C-ILSO2_1-13,R3,880,310,5,62,176
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-3,R1,780,290,5,58,156
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-3,R2,890,350,5,70,178
Pythium arrhenomanes,Set_5-2,C-ILSO2_1-3,R3,560,160,5,32,112
Phytopythium litorale,Set_5-2,C-KSSO2_1-25,R1,830,270,5,54,166
Phytopythium litorale,Set_5-2,C-KSSO2_1-25,R2,820,290,5,58,164
Phytopythium litorale,Set_5-2,C-KSSO2_1-25,R3,780,230,5,46,156
Phytopythium mercuriale,Set_5-2,C-KSSO2_2-15,R1,640,190,5,38,128
Phytopythium mercuriale,Set_5-2,C-KSSO2_2-15,R2,770,270,5,54,154
Phytopythium mercuriale,Set_5-2,C-KSSO2_2-15,R3,870,270,5,54,174
Pythium hypogynum,Set_5-2,C-KSSO2_6-21,R1,750,160,5,32,150
Pythium hypogynum,Set_5-2,C-KSSO2_6-21,R2,760,300,5,60,152
Pythium hypogynum,Set_5-2,C-KSSO2_6-21,R3,880,350,5,70,176
Pythium hypogynum,Set_5-2,C-MISO2_4-1,R1,710,220,5,44,142
Pythium hypogynum,Set_5-2,C-MISO2_4-1,R2,930,390,5,78,186
Pythium hypogynum,Set_5-2,C-MISO2_4-1,R3,530,130,5,26,106
Pythium arrhenomanes,Set_5-2,C-MISO2_4-10,R1,1010,380,5,76,202
Pythium arrhenomanes,Set_5-2,C-MISO2_4-10,R2,770,260,5,52,154
Pythium arrhenomanes,Set_5-2,C-MISO2_4-10,R3,720,310,5,62,144
Pythium nagaii,Set_5-2,C-MNSO2_6-21,R1,830,220,5,44,166
Pythium nagaii,Set_5-2,C-MNSO2_6-21,R2,850,250,5,50,170
Pythium nagaii,Set_5-2,C-MNSO2_6-21,R3,860,300,5,60,172
Pythium nagaii,Set_5-2,C-NDSO2_1-1,R1,780,270,5,54,156
Pythium nagaii,Set_5-2,C-NDSO2_1-1,R2,910,270,5,54,182
Pythium nagaii,Set_5-2,C-NDSO2_1-1,R3,840,250,5,50,168
Pythium nagaii,Set_5-2,C-NDSO2_6-1,R1,820,270,5,54,164
Pythium nagaii,Set_5-2,C-NDSO2_6-1,R2,750,260,5,52,150
Pythium nagaii,Set_5-2,C-NDSO2_6-1,R3,570,230,5,46,114
CONTROL,Set_5-2,CONTROL,R1,780,250,5,50,156
CONTROL,Set_5-2,CONTROL,R2,910,330,5,66,182
CONTROL,Set_5-2,CONTROL,R3,720,310,5,62,144
Pythium aff. perplexum,Set_5-2,IASO_2-12.11,R1,890,340,5,68,178
Pythium aff. perplexum,Set_5-2,IASO_2-12.11,R2,960,370,5,74,192
Pythium aff. perplexum,Set_5-2,IASO_2-12.11,R3,630,230,5,46,126
Pythium middletonii,Set_5-2,ILSO_6-58C,R1,760,270,5,54,152
Pythium middletonii,Set_5-2,ILSO_6-58C,R2,800,260,5,52,160
Pythium middletonii,Set_5-2,ILSO_6-58C,R3,800,300,5,60,160
Pythium middletonii,Set_5-2,INSO_4-27,R1,850,310,5,62,170
Pythium middletonii,Set_5-2,INSO_4-27,R2,850,310,5,62,170
Pythium middletonii,Set_5-2,INSO_4-27,R3,700,300,5,60,140
Pythium tardicrescens,Set_5-2,KSSO_5-18,R1,350,20,5,4,70
Pythium tardicrescens,Set_5-2,KSSO_5-18,R2,630,100,5,20,126
Pythium tardicrescens,Set_5-2,KSSO_5-18,R3,640,140,5,28,128
Pythium tardicrescens,Set_5-2,MICO_5-13,R1,660,160,5,32,132
Pythium tardicrescens,Set_5-2,MICO_5-13,R2,760,260,5,52,152
Pythium tardicrescens,Set_5-2,MICO_5-13,R3,710,230,5,46,142
Pythium tardicrescens,Set_5-2,MICO_6-11,R1,910,270,5,54,182
Pythium tardicrescens,Set_5-2,MICO_6-11,R2,720,260,5,52,144
Pythium tardicrescens,Set_5-2,MICO_6-11,R3,650,240,5,48,130
Pythium aff. perplexum,Set_5-2,MNSO_2-28,R1,880,370,5,74,176
Pythium aff. perplexum,Set_5-2,MNSO_2-28,R2,810,320,5,64,162
Pythium aff. perplexum,Set_5-2,MNSO_2-28,R3,850,280,5,56,170
Pythium kashmirense,Set_5-2,SDSO_7-31,R1,1050,320,5,64,210
Pythium kashmirense,Set_5-2,SDSO_7-31,R2,830,330,5,66,166
Pythium kashmirense,Set_5-2,SDSO_7-31,R3,830,290,5,58,166
Phytopythium litorale,Set_5-2,V-IASO2_6-55,R1,880,270,5,54,176
Phytopythium litorale,Set_5-2,V-IASO2_6-55,R2,810,280,5,56,162
Phytopythium litorale,Set_5-2,V-IASO2_6-55,R3,960,300,5,60,192
Pythium kashmirense,Set_5-2,V-ILSO2_4-64,R1,950,350,5,70,190
Pythium kashmirense,Set_5-2,V-ILSO2_4-64,R2,810,250,5,50,162
Pythium kashmirense,Set_5-2,V-ILSO2_4-64,R3,770,180,5,36,154
Pythium aristosporum,Set_5-2,V-MICO2_5-8,R1,670,260,5,52,134
Pythium aristosporum,Set_5-2,V-MICO2_5-8,R2,830,300,5,60,166
Pythium aristosporum,Set_5-2,V-MICO2_5-8,R3,910,430,5,86,182
Pythium aristosporum,Set_5-2,V-NDSO2_6-50,R1,800,270,5,54,160
Pythium aristosporum,Set_5-2,V-NDSO2_6-50,R2,960,340,5,68,192
Pythium aristosporum,Set_5-2,V-NDSO2_6-50,R3,700,310,5,62,140
Phytopythium litorale,Set_5-2,V-NDSO2_6-55,R1,830,240,5,48,166
Phytopythium litorale,Set_5-2,V-NDSO2_6-55,R2,740,250,5,50,148
Phytopythium litorale,Set_5-2,V-NDSO2_6-55,R3,790,200,5,40,158
Phytopythium mercuriale,Set_5-2,V-NESO2_5-41,R1,870,300,5,60,174
Phytopythium mercuriale,Set_5-2,V-NESO2_5-41,R2,740,330,5,66,148
Phytopythium mercuriale,Set_5-2,V-NESO2_5-41,R3,820,300,5,60,164
Phytopythium mercuriale,Set_5-2,V-NESO2_5-43,R1,780,230,5,46,156
Phytopythium mercuriale,Set_5-2,V-NESO2_5-43,R2,650,330,5,66,130
Phytopythium mercuriale,Set_5-2,V-NESO2_5-43,R3,720,260,5,52,144
Pythium kashmirense,Set_5-2,V-SDSO2_4-64,R1,850,350,5,70,170
Pythium kashmirense,Set_5-2,V-SDSO2_4-64,R2,910,330,5,66,182
Pythium kashmirense,Set_5-2,V-SDSO2_4-64,R3,770,290,5,58,154
Pythium aff. perplexum,Set_5-2,WISO_4-39.1H,R1,520,170,5,34,104
Pythium aff. perplexum,Set_5-2,WISO_4-39.1H,R2,580,170,5,34,116
Pythium aff. perplexum,Set_5-2,WISO_4-39.1H,R3,760,240,5,48,152
CONTROL_NR,Set_5-2,CONTROL_NR,R1,920,360,5,72,184
CONTROL_NR,Set_5-2,CONTROL_NR,R2,980,360,5,72,196
CONTROL_NR,Set_5-2,CONTROL_NR,R3,950,340,5,68,190
Pythium pleroticum,Set_6-1,C-ARSO2_3-13,R1,1060,420,5,84,212
Pythium pleroticum,Set_6-1,C-ARSO2_3-13,R2,860,320,5,64,172
Pythium pleroticum,Set_6-1,C-ARSO2_3-13,R3,970,350,5,70,194
Pythium amasculinum,Set_6-1,C-ARSO2_4-4,R1,840,320,5,64,168
Pythium amasculinum,Set_6-1,C-ARSO2_4-4,R2,960,440,5,88,192
Pythium amasculinum,Set_6-1,C-ARSO2_4-4,R3,830,340,5,68,166
Pythium nunn,Set_6-1,C-INSO2_6-13,R1,760,280,5,56,152
Pythium nunn,Set_6-1,C-INSO2_6-13,R2,940,310,5,62,188
Pythium nunn,Set_6-1,C-INSO2_6-13,R3,830,330,5,66,166
Pythium coloratum,Set_6-1,C-MISO2_2-12,R1,750,350,5,70,150
Pythium coloratum,Set_6-1,C-MISO2_2-12,R2,940,420,5,84,188
Pythium coloratum,Set_6-1,C-MISO2_2-12,R3,900,430,5,86,180
Pythium coloratum,Set_6-1,C-MNSO2_3-2,R1,940,420,5,84,188
Pythium coloratum,Set_6-1,C-MNSO2_3-2,R2,1050,480,5,96,210
Pythium coloratum,Set_6-1,C-MNSO2_3-2,R3,760,290,5,58,152
Pythium pachycaule,Set_6-1,C-MNSO2_4-4,R1,800,330,5,66,160
Pythium pachycaule,Set_6-1,C-MNSO2_4-4,R2,820,430,5,86,164
Pythium pachycaule,Set_6-1,C-MNSO2_4-4,R3,1040,430,5,86,208
Pythium amasculinum,Set_6-1,C-MNSO2_5-12,R1,870,440,5,88,174
Pythium amasculinum,Set_6-1,C-MNSO2_5-12,R2,800,210,5,42,160
Pythium amasculinum,Set_6-1,C-MNSO2_5-12,R3,880,340,5,68,176
Pythium pachycaule,Set_6-1,C-NESO2_5-17,R1,790,300,5,60,158
Pythium pachycaule,Set_6-1,C-NESO2_5-17,R2,980,570,5,114,196
Pythium pachycaule,Set_6-1,C-NESO2_5-17,R3,1070,510,5,102,214
Pythium aphanidermatum,Set_6-1,C-NESO2_6-2,R1,730,210,5,42,146
Pythium aphanidermatum,Set_6-1,C-NESO2_6-2,R2,830,370,5,74,166
Pythium aphanidermatum,Set_6-1,C-NESO2_6-2,R3,720,270,5,54,144
Pythium intermedium,Set_6-1,C-SDSO2_5-35,R1,1070,430,5,86,214
Pythium intermedium,Set_6-1,C-SDSO2_5-35,R2,660,230,5,46,132
Pythium intermedium,Set_6-1,C-SDSO2_5-35,R3,700,170,5,34,140
Pythium orthogonon,Set_6-1,C-SDSO2_6-2,R1,910,430,5,86,182
Pythium orthogonon,Set_6-1,C-SDSO2_6-2,R2,900,310,5,62,180
Pythium orthogonon,Set_6-1,C-SDSO2_6-2,R3,740,380,5,76,148
CONTROL,Set_6-1,CONTROL,R1,870,410,5,82,174
CONTROL,Set_6-1,CONTROL,R2,960,400,5,80,192
CONTROL,Set_6-1,CONTROL,R3,990,400,5,80,198
Pythium conidiophorum,Set_6-1,IASO_10-37.7H,R1,740,160,5,32,148
Pythium conidiophorum,Set_6-1,IASO_10-37.7H,R2,1060,480,5,96,212
Pythium conidiophorum,Set_6-1,IASO_10-37.7H,R3,930,350,5,70,186
Pythium pachycaule,Set_6-1,IASO_8-30.4RD,R1,1090,500,5,100,218
Pythium pachycaule,Set_6-1,IASO_8-30.4RD,R2,1030,500,5,100,206
Pythium pachycaule,Set_6-1,IASO_8-30.4RD,R3,730,340,5,68,146
Pythium sp. balticum,Set_6-1,ILSO_5-1A,R1,830,290,5,58,166
Pythium sp. balticum,Set_6-1,ILSO_5-1A,R2,850,400,5,80,170
Pythium sp. balticum,Set_6-1,ILSO_5-1A,R3,740,230,5,46,148
Pythium aphanidermatum,Set_6-1,ILSO_6-13C_1,R1,790,300,5,60,158
Pythium aphanidermatum,Set_6-1,ILSO_6-13C_1,R2,790,420,5,84,158
Pythium aphanidermatum,Set_6-1,ILSO_6-13C_1,R3,610,260,5,52,122
Pythium sp. balticum,Set_6-1,INSO_2-47,R1,800,290,5,58,160
Pythium sp. balticum,Set_6-1,INSO_2-47,R2,850,400,5,80,170
Pythium sp. balticum,Set_6-1,INSO_2-47,R3,720,270,5,54,144
Pythium pleroticum,Set_6-1,INSO_3-10,R1,940,340,5,68,188
Pythium pleroticum,Set_6-1,INSO_3-10,R2,920,420,5,84,184
Pythium pleroticum,Set_6-1,INSO_3-10,R3,870,380,5,76,174
Pythium aphanidermatum,Set_6-1,INSO_4-33,R1,780,430,5,86,156
Pythium aphanidermatum,Set_6-1,INSO_4-33,R2,740,320,5,64,148
Pythium aphanidermatum,Set_6-1,INSO_4-33,R3,670,300,5,60,134
Pythium amasculinum,Set_6-1,KSSO_4-31,R1,830,380,5,76,166
Pythium amasculinum,Set_6-1,KSSO_4-31,R2,750,370,5,74,150
Pythium amasculinum,Set_6-1,KSSO_4-31,R3,730,310,5,62,146
